17956270526187185,"{'data': [{'id': '17947860242360912'}, {'id': '17980002325782919'}, {'id': '17843750789885599'}, {'id': '17883763337754064'}]}",287,CAROUSEL_ALBUM,".
 #写ルンです",,
17969391475832010,"{'data': [{'id': '17967662686844903'}, {'id': '17967510817963500'}, {'id': '17983523326709030'}, {'id': '17946318122365333'}, {'id': '17990798875613243'}, {'id': '17934106307401041'}, {'id': '18267945319096558'}, {'id': '17918415983633100'}]}",12,CAROUSEL_ALBUM,".
写ルンです📸
.
.
.
#写ルンです #エモ写 #写ルンですの旅 #写ルンですで撮影 
#京都 #京都旅行 #京都観光 #嵐山 #嵐山観光 #渡月橋 #太秦映画村 #映画村 #京料理六盛 #六盛 #南座 #平安神宮 #koedonuts #koe",,
17979130003775958,,6,IMAGE,"・
蕎麦屋アルバイト歴もうすぐ5年目
・
週6でバイトして毎日蕎麦みてるけど嫌いにならないし、うどん派だったけど蕎麦派になりつつあるし
とりあえず蕎麦はおいしいよ。
そしておかわり何杯でも無料の蕎麦屋自慢だよ、とっても人気だよ
だから時給100円あがったよ
だから今月たくさん洋服かったよ
届くの楽しみ楽しみ
・
仕事決まって来年辞めるつもりだったけど、どうしてもパートのおばあちゃん（あいちゃん）が大好きすぎて、会えなくなるの寂しいすぎて、辞めたくないから店長に入れる時入っていいですか？ってきいたら、いいよって言ってくれたから多分来年も蕎麦屋です生き甲斐です‼︎
・
あいちゃんが作ってくれるおにぎりと茶碗蒸しのために今日もバイトはりきります
・
・
#写ルンです
#フィルムカメラ",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315549802_3189274758050311_6198833260808492377_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7MDXA0Zm8woAX8TOVnU&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBVW8MmPJ7ayqjhzQK3f0e-gzeVp72VgWQ79MjjfszI5Q&oe=6379FF2B
18258306745113086,"{'data': [{'id': '17963874098022536'}, {'id': '17947034309463049'}, {'id': '18117443791293964'}, {'id': '17993250634590352'}, {'id': '17952148295483565'}, {'id': '18020957056417395'}, {'id': '17848161935874477'}, {'id': '17847874091862051'}, {'id': '17934132812400881'}]}",,CAROUSEL_ALBUM,"Last bit of summer🥭
#会館です",,
17963533136038702,,97,IMAGE,"しおり誰のもーん！？

#俺のもーん🎶
#いぇーいぇー🎶",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315436890_5395502757228796_7296324899941508374_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ielyduw33I0AX_aSOgL&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBzr7hIESrx8aJnh4ZK7qWPvdvBFLuJt-8Nw19mUeltkw&oe=63786753
18034122121408713,,12,IMAGE,"こんなに綺麗に撮れたの初めてです。
、
、

#江ノ島#天気#自然#青空#空好き#Sky#雲#双眼鏡#Photo#日本#写真#日和#景色#見たことない空#morning#Night#夜景#飛行機#高校生ブランド#写ルンです#帰り道#展望台#星#月#デートスポット#パフェ",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315452652_457646063143465_8330840342941921396_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=V0W0-g7DpLQAX-byDmd&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAxhtmssSnQTio-XwGQbx54RhAZbQTqy8lg7eVomV-TYw&oe=63787870
17957363750292814,,12,IMAGE,"アウトレットより、
、
、

#江ノ島#天気#自然#青空#空好き#Sky#雲#双眼鏡#Photo#日本#写真#日和#景色#見たことない空#morning#Night#夜景#飛行機#高校生ブランド#写ルンです#帰り道#展望台#星#月#富士山",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315493372_884540309619674_5288406816855183868_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=gOdOLGXLJzMAX8vbeDV&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAK887hsGK3PlOnU39uFUjVK0d9C9n-FlYdd9lteCzRYA&oe=6378A45E
17972305372780921,,3,IMAGE,"・
2年前の写真で、
ハタチなりたてで。
コロナ流行ってて
学校もオンラインで
バイトしてダラダラして
いちにち終わってた
それが楽しかった
・
・
・
絶賛路頭に迷い中🤲🏻
1週間後はきっとなんとも思ってないんだろうな〜〜〜〜〜
なんかずーーーんって落ちるとき、ある、はず…自分だけじゃないはず、🍃
#フィルムカメラ
#film
#ふぃるむ寫眞 
#写ルンです",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315501240_1101485663865521_1499321498462951750_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=AUan-TRg95MAX_LLLfK&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfC08ADMmT7ZRIidOIlpMSfiCzGzvQJ3-e-3pH09alxSxg&oe=6378624C
18035861305404819,,1,VIDEO,"8ヶ月前に写ルンですでバズった人です
覚えてくれてる人がいたら嬉しいなーーー
#写ルンです",,https://video-nrt1-1.cdninstagram.com/o1/v/t16/f1/m82/AD42F72ED6222B4056D8C76BBCB52AA3_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=video-nrt1-1.cdninstagram.com&_nc_cat=105&vs=809984433563670_1568255175&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC9BRDQyRjcyRUQ2MjIyQjQwNTZEOEM3NkJCQ0I1MkFBM192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR1BnVHloSzQ1MklCcnFFQkFMYk9pbzNELURwNmJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm7snLgfm32j8VAigCQzMsF0Ak7peNT987GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfBF547oo8umUTC37hE85ESce3qND1uw1MSYcZXoMglHIQ&oe=6375F535&_nc_sid=ea0b6e&_nc_rid=c6c5c2093f
17962697360089699,,17,IMAGE,".
📷

[2022.10 -写ルンです-]
.
.
#写ルンです 
.
#秋 #東京湾 #高速道路 #横浜
#autumn #fall #tokyobay #yokohama #japan",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315455439_1785822555126067_8772328385317057082_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=RHpSjGYeZboAX_nY4Ng&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfDCKkcvbBCnfcIn7wMD5CODfp1S_FRVa63UUw1Tz1TDOg&oe=6378A1B9
