id,like_count,caption,hash_tag,permalink
18326095789063414,13820,"⁡
⁡
⁡
子供が産まれたら
一緒にミッキーの耳つけてディズニーに行きたい
⁡
っていう夢叶った🏰✨
⁡
⁡
  
  
","#ディズニーコーデ,#ミッキーコーデ,#親子ディズニー,#子連れディズニー,#写ルンです",https://www.instagram.com/p/CkDVUaYhlK6/
17989206541619618,72," （下北沢）
下北沢に住み始めてからというものの、
常に好きなカレーを食べられるようになってしまった
（最高の人生）



","#NAWODCURRY,#週刊シティボーイ,#週刊シティボーイ_下北沢,#週刊シティボーイ_カレー",https://www.instagram.com/p/ClLp54oymWU/
17991246499611162,108,Cheers to the weekend.,,https://www.instagram.com/p/ClLo7dEhki_/
17911280819551120,1783,"秋ピクニックに必須！【

写ルンですはもって行くけどいまいち撮り方がわからない、、、なんてことありませんか？🫢
これから紅葉の季節🍂
写ルンですを持って素敵な写真をたくさんとってみてくださいね🫶🏻

今回の担当はあいなでした👶🤍

photo by
sak___124 ___rn514_ _o2423 ___i.mk_____ mur_moca maimai_film kananak323 onmii
ayn_ymt marumemo_

","#写ルンです】の撮り方を紹介します🤭,#写ルンです,#秋ピクニック,#フイルムカメラ,#カメラ,#写ルンです女子,#写真,#チェキ,#秋,#写真好きな人と繋がりたい,#写真で伝えたい私の世界,#fujifilm,#カメラ女子,#film_jp,#フィルム,#フィルム写真,#写ルンですのある生活",https://www.instagram.com/p/Cjp8zOshpeM/
18246082756134648,50,"2022.11.2 北海道大学

初めての二眼レフ&ブローニーフィルム。

フィルム巻いて、構図決めて、露出設定して…。
それでいて12枚しか撮れないし、1枚撮るのに300円かかるって信じられない..!
スナップ写真1枚撮るだけでも、数十分かかることは当たり前。
そうやって逃したシャッターチャンスは数知れず。

だけど、そうやって撮った写真は「いつ」「どこで」「どのように」はもちろん、「どんな気持ちで」「どんな状況下で」シャッターを切ったか、そんな事まで鮮明に覚えてる。

写真一枚それぞれに、情報の奥行き(これを「思い入れ」というのだろう)が生まれている。

それはハードディスクに保存されている、数TBもの「写真データ」とは決定的に違うもので。

だからこそ、「今月の光熱費ギリギリだな..。」とか思いながらも、店頭でフィルム見かけたらついつい買ってしまうんだろうな。",,https://www.instagram.com/p/ClLtzxfSCn0/
17918277449529536,136,sunset 🌆,,https://www.instagram.com/p/ClGQSGpvtAS/
17947253999183750,23063,"最新マリンアクティビティ
とっても楽しかったね🐬💛",,https://www.instagram.com/p/CksaFnePJ05/
17954727389274203,0,"七五三、短い間に盛りだくさんで
色々と楽しんだね〜〜☺️👘🎶◎
わたしも撮影とっても楽しかったです！
ありがとう！！！  ","#七五三,#753",https://www.instagram.com/p/ClLqSOePbd3/
17927273735433752,9181,"＿＿＿＿＿＿＿＿＿＿＿＿＿✧‧˚
⠀
⠀
三姉妹に写ルンです📸で撮影してもらったよーっ💞
⠀
⠀
写ルンてす…懐かしい🥺✨
中学生の頃、いつでもどこでも撮れるように
カバンの中に潜ませてたな…🤣❤️
⠀
⠀
データをスマホ転送できて
エモい写真が撮れてブーム再熱してるね😍
買おうと思っても在庫がない😇笑
⠀
⠀
３人ともそれぞれ狙ってないからこそ
素敵な写真が撮れてて最高😍
YouTubeもあがってます🤗
⠀
⠀
ひな / 1.2.3.10枚目
ひま / 7.8.9枚目
ひよ / 4.5.6枚目
⠀
⠀
𖡼.𖤣𖥧. . 𖥧 𖥧 𖧧 ༘ ⚮̈𖡼.𖤣𖥧. . 𖥧𖥧 𖧧 ༘ ⚮̈
⠀
⠀
                             ","#親バカ部,#赤ちゃんのいる生活,#子どものいる暮らし,#3姉妹,#3姉妹ママ,#家族旅行,#旅行,#家族旅,#リンクコーデ,#お揃いコーデ,#ひまわり畑,#ひまわり,#夏旅,#夏旅行,#子連れ旅行,#子連れ旅行,#写ルンです,#写ルンですのある生活,#写ルン,#写ルンです女子,#写活,#子どもカメラ,#子どもカメラマン,#子供カメラマン,#子供カメラ,#お花畑,#エモ写真,#キバナコスモス,#夫婦フォト,#夫婦写真,#エモい写真",https://www.instagram.com/p/CjNH__RpgSO/
17951108750486542,235,"
 ? 
  

","#CONTAXT3,#premium400,#fujifilm,#piazzasanmarco,#venice,#italy,#2019,#2枚目は当時のストーリー👀",https://www.instagram.com/p/ClK5LGoyjIB/
18192586591232593,13,".
まじで師走ってかんじ。
ばたばたしてるうちに
1ヶ月がおわる～。",,https://www.instagram.com/p/ClLwPTQPSuQ/
18250539289097890,33609,"Disney Film🎞♡♡♡

","#ディズニー,#ディズニーランド,#ディズニーコーデ,#フィルムカメラ,#写ルンです,#写ルンですのある生活",https://www.instagram.com/p/Cg1jmsSp2mZ/
17936842469268495,3423,"今回は をご紹介します！
.
今回の投稿はさやかでした💫
.
素敵なお写真ありがとうございます♥️
・
おすすめの情報や可愛いアイテムは
shiny__jk


のハッシュタグをつけて教えてくださいね🌟
タグ付けされた投稿はご紹介させていただく場合がございます❤️‍🔥
・
・
                  ","#写ルンですフォト,#しゃいにーがーるず,#shinyjk,#キラキラな瞬間を創り出そう,#jkの素敵な思い出,#jkブランド,#jk,#jk3,#jk2,#jk1,#jk制服,#写ルンです,#写ルンですのある生活,#夏祭り,#写ルンです女子,#写ルンです好きな人と繋がりたい,#しゃいにーがーるず,#shiny,#shinyjk,#jkにしかできないこと,#青春,#青春フォトグラフ,#青春フォト",https://www.instagram.com/p/Cih1pZEPBH4/
18161864632268826,56,"お気に入りのファーベストでルンルン☺︎

2枚目は、お子様たちが飛ばしてたシャボン玉が入っていい感じなった🫧

クリスマスのディズニーランド、
今年は絶対に行くぞ絶対にな！！🐭ﾊﾊッ",,https://www.instagram.com/p/ClKt81lJmev/
17859264761808075,41,                           ,"#カメラ,#写真,#一眼レフ,#撮影,#カメラ女子,#camera,#ポートレート,#canon,#ミラーレス,#nikon,#フィルムカメラ,#ファインダー越しの私の世界,#olympus,#ミラーレス一眼,#photo,#写ルンです,#紅葉,#撮影会,#一眼,#フォト,#自然,#インスタ映え,#空,#景色,#呑山観音寺,#呑山観音寺の紅葉,#福岡,#福岡観光,#japan",https://www.instagram.com/p/ClLvx7ULgXl/
id,like_count,caption,hash_tag,permalink
18236646553193412,0,"フィルムカメラ現像したら、
夏の写真出てきた 🌞👋🏻また来年   ","#2022,#summerend",https://www.instagram.com/p/CjIcSqWJHZ0/
